learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,1,0.264801,0
2,8,4,0.201,0.881,1,0.403412,7
2,8,5,0.201,0.881,1,0.051544,95
3,10,1,0.215,0.875,1,0.2099,4
3,10,9,0.215,0.875,1,0.20166,69
5,9,2,0.22,0.871,1,0.515503,64
5,9,7,0.22,0.871,1,0.030609,56
5,9,8,0.22,0.871,1,0.47821,27
6,19,1,0.22,0.863,1,0.329559,10
6,19,5,0.22,0.863,1,0.116241,68
6,19,9,0.22,0.863,1,0.834778,27
6,19,14,0.22,0.863,1,0.616577,72
6,19,15,0.22,0.863,1,0.306274,55
6,19,17,0.22,0.863,1,0.51355,97
6,19,18,0.22,0.863,1,0.152679,31
7,8,7,0.209,0.866,1,0.469818,69
8,10,2,0.223,0.887,1,0.690948,51
8,10,4,0.223,0.887,1,0.976654,95
8,10,9,0.223,0.887,1,0.581238,16
9,13,3,0.199,0.871,1,0.27652,16
9,13,5,0.199,0.871,1,0.125519,97
9,13,8,0.199,0.871,1,0.037109,37
12,19,4,0.221,0.877,1,0.692932,13
12,19,12,0.221,0.877,1,0.609863,36
13,8,1,0.232,0.87,1,0.449493,37
13,8,7,0.232,0.87,1,0.764404,70
14,7,1,0.219,0.871,1,0.629639,70
15,15,10,0.218,0.879,1,0.039795,52
15,15,13,0.218,0.879,1,0.186035,23
16,8,7,0.201,0.854,1,0.947021,52
17,16,1,0.22,0.885,1,0.84494,52
17,16,10,0.22,0.885,1,0.369843,23
17,16,14,0.22,0.885,1,0.095642,19
18,10,1,0.213,0.871,1,0.581482,60
18,10,4,0.213,0.871,1,0.478302,17
20,16,1,0.203,0.875,1,0.174561,84
20,16,5,0.203,0.875,1,0.130585,83
20,16,7,0.203,0.875,1,0.846802,98
20,16,11,0.203,0.875,1,0.368652,17
20,16,12,0.203,0.875,1,0.327698,8
20,16,13,0.203,0.875,1,0.107208,48
20,16,15,0.203,0.875,1,0.034882,49
21,6,1,0.224,0.868,1,0.7099,71
22,11,3,0.213,0.886,1,0.858643,79
24,12,3,0.204,0.882,1,0.480988,16
24,12,7,0.204,0.882,1,0.249817,83
25,15,1,0.222,0.878,1,0.087006,13
26,20,13,0.21,0.877,1,0.522095,13
26,20,17,0.21,0.877,1,0.610931,79
27,10,2,0.197,0.884,1,0.382935,79
27,10,3,0.197,0.884,1,0.801941,2
27,10,4,0.197,0.884,1,0.743713,16
28,20,2,0.222,0.858,1,0.533478,21
28,20,5,0.222,0.858,1,0.938965,7
28,20,10,0.222,0.858,1,0.844391,88
28,20,16,0.222,0.858,1,0.031494,89
28,20,19,0.222,0.858,1,0.107605,38
29,20,0,0.225,0.848,1,0.011353,38
29,20,12,0.225,0.848,1,0.793671,36
29,20,13,0.225,0.848,1,0.729584,49
29,20,14,0.225,0.848,1,0.127991,24
29,20,15,0.225,0.848,1,0.930511,43
29,20,18,0.225,0.848,1,0.495239,39
30,13,6,0.214,0.883,1,0.869781,43
30,13,9,0.214,0.883,1,0.216461,17
30,13,11,0.214,0.883,1,0.567657,20
30,13,12,0.214,0.883,1,0.515686,48
31,10,9,0.21,0.878,1,0.864929,48
32,15,0,0.224,0.892,1,0.220673,48
32,15,1,0.224,0.892,1,0.349792,20
32,15,2,0.224,0.892,1,0.377258,39
32,15,7,0.224,0.892,1,0.758636,14
32,15,14,0.224,0.892,1,0.192078,45
33,22,1,0.215,0.885,1,0.03595,14
33,22,2,0.215,0.885,1,0.074097,58
33,22,3,0.215,0.885,1,0.09256,99
33,22,7,0.215,0.885,1,0.98056,62
33,22,8,0.215,0.885,1,0.979584,60
33,22,15,0.215,0.885,1,0.512817,16
33,22,19,0.215,0.885,1,0.402191,77
35,23,0,0.211,0.883,1,0.582367,28
35,23,1,0.211,0.883,1,0.097595,3
35,23,3,0.211,0.883,1,0.202026,44
35,23,6,0.211,0.883,1,0.627716,82
35,23,12,0.211,0.883,1,0.181763,72
35,23,20,0.211,0.883,1,0.602386,95
35,23,21,0.211,0.883,1,0.661804,38
36,19,11,0.226,0.864,1,0.959259,65
36,19,12,0.226,0.864,1,0.909973,98
36,19,13,0.226,0.864,1,0.384277,12
36,19,17,0.226,0.864,1,0.619171,38
38,27,0,0.186,0.87,1,0.250793,97
38,27,1,0.186,0.87,1,0.86554,65
38,27,4,0.186,0.87,1,0.66275,8
38,27,10,0.186,0.87,1,0.424377,91
38,27,18,0.186,0.87,1,0.556427,59
38,27,21,0.186,0.87,1,0.884766,92
38,27,25,0.186,0.87,1,0.026062,63
39,5,1,0.233,0.878,1,0.801544,41
39,5,3,0.233,0.878,1,0.204407,37
40,16,3,0.217,0.889,1,0.117859,91
40,16,6,0.217,0.889,1,0.876526,46
41,17,4,0.222,0.866,1,0.24585,46
41,17,8,0.222,0.866,1,0.266083,41
41,17,10,0.222,0.866,1,0.967316,13
41,17,13,0.222,0.866,1,0.612061,59
