learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,0,0.201,0.881,1,0.465515,0
2,8,7,0.201,0.881,1,0.543884,3
4,13,0,0.229,0.865,1,0.582031,80
4,13,6,0.229,0.865,1,0.495331,77
4,13,7,0.229,0.865,1,0.409058,65
4,13,11,0.229,0.865,1,0.132324,89
5,9,8,0.22,0.871,1,0.069427,43
6,19,0,0.22,0.863,1,0.005981,56
6,19,10,0.22,0.863,1,0.561737,15
7,8,1,0.209,0.866,1,0.179962,90
8,10,2,0.223,0.887,1,0.53598,11
9,13,0,0.199,0.871,1,0.274597,15
10,7,0,0.2,0.876,1,0.896179,58
10,7,3,0.2,0.876,1,0.693604,36
10,7,5,0.2,0.876,1,0.193939,37
12,19,0,0.221,0.877,1,0.843933,37
12,19,5,0.221,0.877,1,0.326752,16
12,19,9,0.221,0.877,1,0.158081,26
12,19,14,0.221,0.877,1,0.494995,18
12,19,18,0.221,0.877,1,0.987885,24
13,8,0,0.232,0.87,1,0.102325,24
13,8,2,0.232,0.87,1,0.098724,29
15,15,3,0.218,0.879,1,0.383728,58
15,15,7,0.218,0.879,1,0.246979,48
15,15,9,0.218,0.879,1,0.108887,5
15,15,13,0.218,0.879,1,0.860413,54
15,15,14,0.218,0.879,1,0.190674,89
16,8,2,0.201,0.854,1,0.165466,89
17,16,6,0.22,0.885,1,0.288666,43
17,16,12,0.22,0.885,1,0.55719,53
17,16,14,0.22,0.885,1,0.12439,23
18,10,0,0.213,0.871,1,0.97113,53
18,10,1,0.213,0.871,1,0.626678,95
18,10,4,0.213,0.871,1,0.043884,94
18,10,5,0.213,0.871,1,0.689178,49
19,5,0,0.203,0.874,1,0.106995,49
20,16,2,0.203,0.875,1,0.792053,94
20,16,4,0.203,0.875,1,0.873413,82
20,16,6,0.203,0.875,1,0.002533,19
20,16,9,0.203,0.875,1,0.508423,40
20,16,12,0.203,0.875,1,0.495148,55
21,6,0,0.224,0.868,1,0.375885,19
21,6,2,0.224,0.868,1,0.095337,55
21,6,4,0.224,0.868,1,0.047333,22
22,11,3,0.213,0.886,1,0.341583,93
24,12,4,0.204,0.882,1,0.265717,53
24,12,7,0.204,0.882,1,0.374786,12
24,12,8,0.204,0.882,1,0.351532,74
25,15,3,0.222,0.878,1,0.744476,12
25,15,4,0.222,0.878,1,0.907532,72
25,15,5,0.222,0.878,1,0.494537,79
26,20,1,0.21,0.877,1,0.549011,84
26,20,2,0.21,0.877,1,0.170349,26
26,20,5,0.21,0.877,1,0.173157,42
26,20,7,0.21,0.877,1,0.08493,35
26,20,10,0.21,0.877,1,0.424042,21
26,20,11,0.21,0.877,1,0.412537,89
26,20,12,0.21,0.877,1,0.633911,24
26,20,17,0.21,0.877,1,0.409058,68
26,20,18,0.21,0.877,1,0.286652,29
27,10,0,0.197,0.884,1,0.352051,29
27,10,6,0.197,0.884,1,0.100677,63
28,20,1,0.222,0.858,1,0.317413,95
28,20,11,0.222,0.858,1,0.289429,6
28,20,15,0.222,0.858,1,0.046356,94
29,20,1,0.225,0.848,1,0.359253,41
29,20,5,0.225,0.848,1,0.658508,82
29,20,10,0.225,0.848,1,0.313629,53
29,20,13,0.225,0.848,1,0.492157,95
29,20,18,0.225,0.848,1,0.315704,48
30,13,0,0.214,0.883,1,0.498962,86
30,13,4,0.214,0.883,1,0.22641,58
30,13,5,0.214,0.883,1,0.557312,32
30,13,6,0.214,0.883,1,0.221313,94
30,13,10,0.214,0.883,1,0.278107,40
31,10,5,0.21,0.878,1,0.628235,19
32,15,1,0.224,0.892,1,0.338501,48
32,15,12,0.224,0.892,1,0.061615,66
32,15,14,0.224,0.892,1,0.070435,76
33,22,10,0.215,0.885,1,0.153961,76
35,23,12,0.211,0.883,1,0.787506,19
35,23,15,0.211,0.883,1,0.081329,45
35,23,16,0.211,0.883,1,0.465302,33
35,23,17,0.211,0.883,1,0.437225,17
36,19,4,0.226,0.864,1,0.144897,20
36,19,5,0.226,0.864,1,0.495514,48
36,19,16,0.226,0.864,1,0.872345,2
37,9,1,0.204,0.862,1,0.983643,48
37,9,2,0.204,0.862,1,0.736145,2
37,9,4,0.204,0.862,1,0.973755,99
38,27,1,0.186,0.87,1,0.768402,99
38,27,3,0.186,0.87,1,0.11908,17
38,27,5,0.186,0.87,1,0.033661,88
38,27,6,0.186,0.87,1,0.723785,4
38,27,8,0.186,0.87,1,0.352905,30
38,27,10,0.186,0.87,1,0.546753,73
38,27,15,0.186,0.87,1,0.189209,16
38,27,26,0.186,0.87,1,0.075867,19
39,5,1,0.233,0.878,1,0.974121,61
40,16,3,0.217,0.889,1,0.512573,61
40,16,13,0.217,0.889,1,0.862427,60
41,17,0,0.222,0.866,1,0.014709,17
41,17,10,0.222,0.866,1,0.169342,93
41,17,11,0.222,0.866,1,0.075073,62
41,17,12,0.222,0.866,1,0.474243,91
43,19,5,0.208,0.866,1,0.954346,91
43,19,6,0.208,0.866,1,0.873871,21
43,19,14,0.208,0.866,1,0.864777,24
44,18,9,0.229,0.874,1,0.515167,76
44,18,11,0.229,0.874,1,0.59314,62
44,18,13,0.229,0.874,1,0.624512,7
45,23,3,0.212,0.857,1,0.564178,33
45,23,5,0.212,0.857,1,0.63913,4
45,23,6,0.212,0.857,1,0.503937,26
45,23,16,0.212,0.857,1,0.745117,15
45,23,21,0.212,0.857,1,0.327209,58
46,15,13,0.215,0.874,1,0.481995,58
47,10,0,0.204,0.889,1,0.318146,58
47,10,7,0.204,0.889,1,0.703583,59
48,11,1,0.235,0.876,1,0.596954,58
48,11,3,0.235,0.876,1,0.293823,81
49,29,0,0.196,0.879,1,0.377838,81
49,29,1,0.196,0.879,1,0.81076,15
49,29,7,0.196,0.879,1,0.993011,31
49,29,10,0.196,0.879,1,0.406586,19
49,29,13,0.196,0.879,1,0.880432,17
49,29,18,0.196,0.879,1,0.467346,60
50,11,2,0.227,0.872,1,0.123444,17
50,11,6,0.227,0.872,1,0.220184,91
50,11,9,0.227,0.872,1,0.319244,93
52,16,3,0.214,0.861,1,0.810394,73
