learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
2,8,0,0,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.608401336
2,8,0,1,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.674866696
2,8,0,2,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.532283347
2,8,0,3,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.711049687
2,8,0,4,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.546829984
2,8,0,5,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.647829412
2,8,0,6,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.621637325
2,8,0,7,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.501784981
2,8,0,8,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.662772323
2,8,0,9,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.550420741
2,8,0,10,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.700496163
2,8,0,11,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.703097418
2,8,0,12,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.586418629
2,8,0,13,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.506324046
2,8,0,14,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.684974663
2,8,0,15,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.650565202
2,8,0,16,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.677317372
2,8,0,17,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.672016729
2,8,0,18,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.705054883
2,8,0,19,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.631260104
2,8,0,20,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.629495801
2,8,0,21,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.540319221
2,8,0,22,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.665582179
2,8,0,23,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.630770428
2,8,0,24,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.59844707
2,8,0,25,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.695407833
2,8,0,26,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.57477682
2,8,0,27,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.697925691
2,8,0,28,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.675857077
2,8,0,29,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.647871288
2,8,0,30,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.697192637
2,8,0,31,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.608413964
2,8,0,32,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.545149603
2,8,0,33,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.700787085
2,8,0,34,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.652835732
2,8,0,35,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.580991214
2,8,0,36,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.70987056
2,8,0,37,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.54729874
2,8,0,38,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.639241954
2,8,0,39,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.643830641
2,8,0,40,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.630563202
2,8,0,41,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.536721171
2,8,0,42,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.708679324
2,8,0,43,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.621077239
2,8,0,44,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.681159898
2,8,0,45,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.571657191
2,8,0,46,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.577750281
2,8,0,47,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.563470734
2,8,0,48,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.581945133
2,8,0,49,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.660767482
2,8,0,50,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.673878788
2,8,0,51,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.703594307
2,8,0,52,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.577917717
2,8,0,53,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.675053026
2,8,0,54,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.546364293
2,8,0,55,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.578096486
2,8,0,56,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.669146693
2,8,0,57,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.709121016
2,8,0,58,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.710667435
2,8,0,59,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.611450775
2,8,0,60,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.601538284
2,8,0,61,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.644587619
2,8,0,62,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.613262527
2,8,0,63,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.690163138
2,8,0,64,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.696660028
2,8,0,65,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.656824532
2,8,0,66,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.698552197
2,8,0,67,0.201,0.881,1,0.00177002,0.465515137,0.931610107,3,0.551124096
