learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,0,0.238,0.877,1,0.68811,0
2,8,1,0.201,0.881,1,0.992157,3
2,8,2,0.201,0.881,1,0.571594,58
2,8,5,0.201,0.881,1,0.341064,57
3,10,6,0.215,0.875,1,0.468719,34
3,10,8,0.215,0.875,1,0.123627,35
4,13,4,0.229,0.865,1,0.239166,90
4,13,5,0.229,0.865,1,0.818329,50
4,13,7,0.229,0.865,1,0.483276,11
4,13,10,0.229,0.865,1,0.001465,17
6,19,12,0.22,0.863,1,0.010834,86
8,10,7,0.223,0.887,1,0.132294,86
9,13,2,0.199,0.871,1,0.848145,86
9,13,4,0.199,0.871,1,0.997559,45
10,7,1,0.2,0.876,1,0.934814,45
12,19,8,0.221,0.877,1,0.668945,45
12,19,13,0.221,0.877,1,0.115509,62
12,19,14,0.221,0.877,1,0.813324,55
12,19,15,0.221,0.877,1,0.001801,83
13,8,7,0.232,0.87,1,0.574707,69
14,7,2,0.219,0.871,1,0.251862,60
15,15,0,0.218,0.879,1,0.562134,75
15,15,7,0.218,0.879,1,0.178192,68
15,15,14,0.218,0.879,1,0.969849,17
16,8,5,0.201,0.854,1,0.930908,17
17,16,1,0.22,0.885,1,0.992035,17
17,16,5,0.22,0.885,1,0.048737,90
17,16,9,0.22,0.885,1,0.784485,74
17,16,11,0.22,0.885,1,0.426025,55
18,10,3,0.213,0.871,1,0.19281,59
19,5,0,0.203,0.874,1,0.292633,4
19,5,1,0.203,0.874,1,0.509003,87
20,16,10,0.203,0.875,1,0.001068,87
20,16,12,0.203,0.875,1,0.265411,64
21,6,0,0.224,0.868,1,0.619232,64
21,6,1,0.224,0.868,1,0.93869,4
21,6,2,0.224,0.868,1,0.022003,37
21,6,5,0.224,0.868,1,0.423187,10
22,11,0,0.213,0.886,1,0.042542,4
22,11,1,0.213,0.886,1,0.390503,92
22,11,5,0.213,0.886,1,0.270142,78
23,1,0,0.201,0.886,1,0.084564,71
24,12,2,0.204,0.882,1,0.813568,88
24,12,4,0.204,0.882,1,0.399658,25
25,15,7,0.222,0.878,1,0.633881,51
25,15,8,0.222,0.878,1,0.897308,97
25,15,11,0.222,0.878,1,0.077942,13
26,20,0,0.21,0.877,1,0.259033,97
26,20,1,0.21,0.877,1,0.813538,13
26,20,13,0.21,0.877,1,0.080719,70
26,20,18,0.21,0.877,1,0.405121,67
27,10,0,0.197,0.884,1,0.68335,70
27,10,1,0.197,0.884,1,0.35144,73
28,20,3,0.222,0.858,1,0.944153,69
28,20,10,0.222,0.858,1,0.151031,30
28,20,12,0.222,0.858,1,0.910614,15
28,20,13,0.222,0.858,1,0.56546,93
28,20,15,0.222,0.858,1,0.579102,70
28,20,19,0.222,0.858,1,0.497864,90
29,20,1,0.225,0.848,1,0.088226,90
29,20,17,0.225,0.848,1,0.565125,73
29,20,19,0.225,0.848,1,0.484711,66
30,13,5,0.214,0.883,1,0.364044,66
30,13,12,0.214,0.883,1,0.264099,54
31,10,1,0.21,0.878,1,0.758179,66
31,10,2,0.21,0.878,1,0.39798,52
31,10,8,0.21,0.878,1,0.194702,84
33,22,0,0.215,0.885,1,0.079071,30
33,22,9,0.215,0.885,1,0.026306,31
33,22,11,0.215,0.885,1,0.203339,94
33,22,12,0.215,0.885,1,0.723297,22
33,22,21,0.215,0.885,1,0.961365,34
34,3,0,0.204,0.891,1,0.752167,30
35,23,3,0.211,0.883,1,0.638031,30
35,23,5,0.211,0.883,1,0.918152,93
35,23,14,0.211,0.883,1,0.786774,13
35,23,18,0.211,0.883,1,0.123596,88
35,23,22,0.211,0.883,1,0.090118,53
36,19,0,0.226,0.864,1,0.18338,6
36,19,8,0.226,0.864,1,0.749847,74
36,19,10,0.226,0.864,1,0.992981,21
36,19,15,0.226,0.864,1,0.734039,75
37,9,1,0.204,0.862,1,0.325806,74
37,9,3,0.204,0.862,1,0.40918,75
37,9,7,0.204,0.862,1,0.519165,99
38,27,0,0.186,0.87,1,0.845184,99
38,27,5,0.186,0.87,1,0.701111,16
38,27,12,0.186,0.87,1,0.002838,21
38,27,26,0.186,0.87,1,0.028717,87
40,16,2,0.217,0.889,1,0.478821,76
40,16,3,0.217,0.889,1,0.572815,73
40,16,6,0.217,0.889,1,0.437347,93
40,16,7,0.217,0.889,1,0.945892,53
40,16,8,0.217,0.889,1,0.570374,85
40,16,10,0.217,0.889,1,0.904694,6
40,16,11,0.217,0.889,1,0.674805,74
42,3,0,0.208,0.883,1,0.180725,73
42,3,2,0.208,0.883,1,0.284973,85
43,19,3,0.208,0.866,1,0.375946,85
43,19,4,0.208,0.866,1,0.973846,56
43,19,5,0.208,0.866,1,0.244202,6
43,19,7,0.208,0.866,1,0.548309,15
43,19,14,0.208,0.866,1,0.124878,53
43,19,17,0.208,0.866,1,0.447601,45
44,18,1,0.229,0.874,1,0.593903,45
44,18,3,0.229,0.874,1,0.481323,62
44,18,4,0.229,0.874,1,0.530548,80
44,18,6,0.229,0.874,1,0.157959,13
44,18,16,0.229,0.874,1,0.115875,2
45,23,2,0.212,0.857,1,0.567566,17
45,23,12,0.212,0.857,1,0.26236,69
45,23,14,0.212,0.857,1,0.230133,13
46,15,2,0.215,0.874,1,0.52121,6
46,15,9,0.215,0.874,1,0.627045,85
46,15,11,0.215,0.874,1,0.806427,47
46,15,13,0.215,0.874,1,0.076202,93
47,10,7,0.204,0.889,1,0.637238,93
48,11,0,0.235,0.876,1,0.80899,89
48,11,6,0.235,0.876,1,0.874847,53
49,29,3,0.196,0.879,1,0.368256,45
49,29,15,0.196,0.879,1,0.525696,12
49,29,16,0.196,0.879,1,0.396179,31
49,29,20,0.196,0.879,1,0.83136,43
49,29,28,0.196,0.879,1,0.902313,49
50,11,3,0.227,0.872,1,0.00293,49
50,11,7,0.227,0.872,1,0.098053,32
50,11,10,0.227,0.872,1,0.740265,82
51,2,1,0.229,0.874,1,0.922729,82
52,16,3,0.214,0.861,1,0.186218,82
52,16,5,0.214,0.861,1,0.376038,87
52,16,10,0.214,0.861,1,0.065735,76
53,21,0,0.213,0.877,1,0.418579,11
53,21,7,0.213,0.877,1,0.957947,9
53,21,10,0.213,0.877,1,0.99765,32
53,21,11,0.213,0.877,1,0.282318,44
53,21,13,0.213,0.877,1,0.144684,76
54,20,0,0.213,0.88,1,0.236877,76
54,20,3,0.213,0.88,1,0.619934,42
54,20,4,0.213,0.88,1,0.984863,71
54,20,5,0.213,0.88,1,0.537872,63
54,20,7,0.213,0.88,1,0.517822,93
54,20,8,0.213,0.88,1,0.05896,92
54,20,12,0.213,0.88,1,0.884491,91
55,20,7,0.214,0.885,1,0.208893,91
55,20,8,0.214,0.885,1,0.204315,93
55,20,9,0.214,0.885,1,0.158203,56
55,20,10,0.214,0.885,1,0.090149,21
55,20,14,0.214,0.885,1,0.837036,63
55,20,16,0.214,0.885,1,0.857819,95
55,20,19,0.214,0.885,1,0.92218,6
56,12,0,0.225,0.878,1,0.976349,6
57,27,5,0.2,0.865,1,0.658661,6
57,27,16,0.2,0.865,1,0.984711,94
57,27,21,0.2,0.865,1,0.984192,88
57,27,23,0.2,0.865,1,0.744293,53
58,10,8,0.205,0.87,1,0.180725,6
59,19,1,0.222,0.869,1,0.773865,6
59,19,7,0.222,0.869,1,0.293518,94
59,19,12,0.222,0.869,1,0.665192,35
59,19,16,0.222,0.869,1,0.28299,21
60,19,2,0.205,0.864,1,0.030701,21
60,19,7,0.205,0.864,1,0.186707,91
60,19,9,0.205,0.864,1,0.466125,58
60,19,13,0.205,0.864,1,0.887238,67
60,19,15,0.205,0.864,1,0.525696,87
61,9,0,0.234,0.885,1,0.795502,23
61,9,1,0.234,0.885,1,0.195038,73
62,4,1,0.236,0.884,1,0.723694,16
63,14,0,0.217,0.88,1,0.848694,16
63,14,5,0.217,0.88,1,0.818573,19
63,14,6,0.217,0.88,1,0.746826,32
63,14,10,0.217,0.88,1,0.177429,44
64,14,0,0.203,0.902,1,0.020111,32
64,14,1,0.203,0.902,1,0.030121,11
64,14,5,0.203,0.902,1,0.554321,2
64,14,6,0.203,0.902,1,0.460968,15
64,14,8,0.203,0.902,1,0.786835,47
64,14,9,0.203,0.902,1,0.912201,38
64,14,10,0.203,0.902,1,0.093353,21
65,18,4,0.204,0.878,1,0.571503,10
65,18,9,0.204,0.878,1,0.131958,92
66,17,0,0.211,0.857,1,0.383087,92
66,17,5,0.211,0.857,1,0.213196,43
66,17,6,0.211,0.857,1,0.415344,95
66,17,10,0.211,0.857,1,0.644684,61
66,17,15,0.211,0.857,1,0.527985,30
68,17,1,0.222,0.872,1,0.296936,53
68,17,5,0.222,0.872,1,0.095245,58
68,17,9,0.222,0.872,1,0.684052,11
68,17,14,0.222,0.872,1,0.78952,13
68,17,15,0.222,0.872,1,0.086487,4
69,19,8,0.226,0.871,1,0.472961,4
69,19,14,0.226,0.871,1,0.11908,62
70,13,2,0.212,0.871,1,0.732117,24
70,13,3,0.212,0.871,1,0.287476,27
71,20,3,0.189,0.874,1,0.881775,1
71,20,5,0.189,0.874,1,0.883545,74
71,20,9,0.189,0.874,1,0.601501,31
71,20,10,0.189,0.874,1,0.309174,3
71,20,11,0.189,0.874,1,0.123932,7
72,13,1,0.221,0.887,1,0.27124,26
72,13,2,0.221,0.887,1,0.93045,23
72,13,7,0.221,0.887,1,0.725616,73
72,13,8,0.221,0.887,1,0.745911,69
72,13,11,0.221,0.887,1,0.285675,70
73,18,5,0.207,0.879,1,0.713043,26
73,18,10,0.207,0.879,1,0.315613,90
73,18,13,0.207,0.879,1,0.81308,50
73,18,16,0.207,0.879,1,0.091095,17
74,21,11,0.228,0.885,1,0.587006,8
74,21,14,0.228,0.885,1,0.246918,49
74,21,18,0.228,0.885,1,0.536407,23
76,20,1,0.213,0.869,1,0.355988,49
76,20,8,0.213,0.869,1,0.453217,27
76,20,9,0.213,0.869,1,0.212585,77
76,20,13,0.213,0.869,1,0.239075,56
77,17,3,0.196,0.897,1,0.577026,12
77,17,5,0.196,0.897,1,0.519104,28
78,20,3,0.219,0.868,1,0.464081,53
78,20,4,0.219,0.868,1,0.939423,28
78,20,5,0.219,0.868,1,0.35379,25
78,20,9,0.219,0.868,1,0.001465,20
79,17,2,0.208,0.874,1,0.190002,81
79,17,8,0.208,0.874,1,0.842529,25
79,17,10,0.208,0.874,1,0.866974,71
79,17,14,0.208,0.874,1,0.913483,48
79,17,15,0.208,0.874,1,0.732666,1
80,7,1,0.21,0.89,1,0.135132,46
81,25,1,0.209,0.869,1,0.417145,99
81,25,5,0.209,0.869,1,0.296844,97
