learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,2,0.201,0.881,1,0.455566,0
3,10,0,0.215,0.875,1,0.999084,3
4,13,8,0.229,0.865,1,0.783447,3
4,13,10,0.229,0.865,1,0.071533,80
4,13,12,0.229,0.865,1,0.674957,51
6,19,0,0.22,0.863,1,0.902893,51
6,19,5,0.22,0.863,1,0.666718,86
6,19,11,0.22,0.863,1,0.213562,23
8,10,0,0.223,0.887,1,0.637421,69
9,13,2,0.199,0.871,1,0.72464,69
9,13,8,0.199,0.871,1,0.166199,39
9,13,11,0.199,0.871,1,0.623016,77
10,7,5,0.2,0.876,1,0.83194,66
12,19,5,0.221,0.877,1,0.678955,66
12,19,6,0.221,0.877,1,0.890808,33
12,19,9,0.221,0.877,1,0.565216,38
12,19,11,0.221,0.877,1,0.89209,85
12,19,15,0.221,0.877,1,0.379791,70
13,8,1,0.232,0.87,1,0.674438,11
13,8,5,0.232,0.87,1,0.650635,22
14,7,2,0.219,0.871,1,0.214813,9
15,15,4,0.218,0.879,1,0.237274,38
15,15,14,0.218,0.879,1,0.423859,21
16,8,0,0.201,0.854,1,0.997284,99
16,8,5,0.201,0.854,1,0.474487,10
17,16,6,0.22,0.885,1,0.547455,78
17,16,8,0.22,0.885,1,0.332245,15
17,16,9,0.22,0.885,1,0.414307,58
17,16,13,0.22,0.885,1,0.859772,69
17,16,14,0.22,0.885,1,0.831299,30
18,10,5,0.213,0.871,1,0.878693,81
20,16,6,0.203,0.875,1,0.501007,81
20,16,11,0.203,0.875,1,0.468597,44
20,16,13,0.203,0.875,1,0.249542,76
20,16,14,0.203,0.875,1,0.586914,34
22,11,2,0.213,0.886,1,0.885101,29
22,11,7,0.213,0.886,1,0.382843,63
22,11,10,0.213,0.886,1,0.662994,6
24,12,5,0.204,0.882,1,0.138336,63
24,12,7,0.204,0.882,1,0.713104,82
24,12,10,0.204,0.882,1,0.091614,41
24,12,11,0.204,0.882,1,0.157196,91
25,15,0,0.222,0.878,1,0.309143,87
25,15,3,0.222,0.878,1,0.709442,42
25,15,8,0.222,0.878,1,0.847473,51
25,15,11,0.222,0.878,1,0.111603,67
26,20,2,0.21,0.877,1,0.133759,29
26,20,4,0.21,0.877,1,0.890747,45
26,20,16,0.21,0.877,1,0.508911,49
26,20,17,0.21,0.877,1,0.080048,76
27,10,0,0.197,0.884,1,0.935303,62
27,10,2,0.197,0.884,1,0.296387,45
27,10,3,0.197,0.884,1,0.903351,33
27,10,9,0.197,0.884,1,0.10144,4
28,20,3,0.222,0.858,1,0.075165,55
28,20,8,0.222,0.858,1,0.267273,47
28,20,14,0.222,0.858,1,0.854034,8
28,20,15,0.222,0.858,1,0.650665,50
29,20,7,0.225,0.848,1,0.09201,48
29,20,17,0.225,0.848,1,0.553833,71
30,13,0,0.214,0.883,1,0.851624,48
30,13,9,0.214,0.883,1,0.954529,39
31,10,5,0.21,0.878,1,0.30072,39
31,10,6,0.21,0.878,1,0.12738,23
32,15,0,0.224,0.892,1,0.659027,23
32,15,9,0.224,0.892,1,0.293518,66
32,15,11,0.224,0.892,1,0.246887,54
33,22,12,0.215,0.885,1,0.190979,27
33,22,13,0.215,0.885,1,0.503387,90
33,22,16,0.215,0.885,1,0.469604,22
33,22,19,0.215,0.885,1,0.945099,18
34,3,1,0.204,0.891,1,0.10907,90
35,23,1,0.211,0.883,1,0.838745,90
35,23,4,0.211,0.883,1,0.668915,23
35,23,10,0.211,0.883,1,0.162415,57
35,23,16,0.211,0.883,1,0.923401,6
35,23,22,0.211,0.883,1,0.259735,79
36,19,2,0.226,0.864,1,0.200958,34
36,19,4,0.226,0.864,1,0.308929,72
36,19,16,0.226,0.864,1,0.244507,8
37,9,0,0.204,0.862,1,0.472351,8
37,9,1,0.204,0.862,1,0.459106,62
37,9,4,0.204,0.862,1,0.344666,87
37,9,6,0.204,0.862,1,0.370667,72
37,9,7,0.204,0.862,1,0.916626,69
38,27,16,0.186,0.87,1,0.619751,62
38,27,18,0.186,0.87,1,0.001373,17
38,27,25,0.186,0.87,1,0.788727,12
39,5,0,0.233,0.878,1,0.754883,12
40,16,1,0.217,0.889,1,0.041656,12
40,16,6,0.217,0.889,1,0.511688,81
40,16,11,0.217,0.889,1,0.383545,76
41,17,5,0.222,0.866,1,0.418854,58
41,17,7,0.222,0.866,1,0.047485,12
41,17,10,0.222,0.866,1,0.548309,59
43,19,0,0.208,0.866,1,0.779999,58
43,19,3,0.208,0.866,1,0.340912,44
43,19,4,0.208,0.866,1,0.153534,34
43,19,9,0.208,0.866,1,0.906403,43
43,19,11,0.208,0.866,1,0.143982,63
43,19,13,0.208,0.866,1,0.661713,1
43,19,14,0.208,0.866,1,0.78479,14
44,18,0,0.229,0.874,1,0.793213,6
44,18,4,0.229,0.874,1,0.856323,67
44,18,5,0.229,0.874,1,0.528503,83
44,18,11,0.229,0.874,1,0.267792,70
45,23,2,0.212,0.857,1,0.773102,23
45,23,5,0.212,0.857,1,0.942108,52
45,23,11,0.212,0.857,1,0.687927,19
45,23,16,0.212,0.857,1,0.423798,36
45,23,17,0.212,0.857,1,0.323944,49
45,23,19,0.212,0.857,1,0.593597,0
46,15,8,0.215,0.874,1,0.581421,52
47,10,1,0.204,0.889,1,0.134674,52
47,10,4,0.204,0.889,1,0.558868,15
47,10,7,0.204,0.889,1,0.943146,10
47,10,8,0.204,0.889,1,0.787933,9
48,11,0,0.235,0.876,1,0.651825,10
48,11,4,0.235,0.876,1,0.317627,66
48,11,10,0.235,0.876,1,0.380981,4
49,29,9,0.196,0.879,1,0.368591,66
49,29,12,0.196,0.879,1,0.418701,81
49,29,19,0.196,0.879,1,0.164307,96
49,29,23,0.196,0.879,1,0.347473,26
49,29,25,0.196,0.879,1,0.023407,50
49,29,26,0.196,0.879,1,0.16803,34
50,11,7,0.227,0.872,1,0.988373,90
50,11,8,0.227,0.872,1,0.08075,30
50,11,9,0.227,0.872,1,0.47583,47
51,2,1,0.229,0.874,1,0.764954,90
52,16,5,0.214,0.861,1,0.630371,55
52,16,11,0.214,0.861,1,0.316437,66
52,16,15,0.214,0.861,1,0.519806,99
53,21,0,0.213,0.877,1,0.703156,83
53,21,8,0.213,0.877,1,0.451385,97
53,21,10,0.213,0.877,1,0.187439,70
54,20,0,0.213,0.88,1,0.444702,70
54,20,2,0.213,0.88,1,0.292542,31
54,20,14,0.213,0.88,1,0.856506,37
54,20,18,0.213,0.88,1,0.143433,17
55,20,1,0.214,0.885,1,0.50827,91
55,20,7,0.214,0.885,1,0.048279,78
55,20,13,0.214,0.885,1,0.14917,46
56,12,1,0.225,0.878,1,0.239868,62
56,12,9,0.225,0.878,1,0.16925,24
57,27,11,0.2,0.865,1,0.967621,16
57,27,21,0.2,0.865,1,0.209259,43
57,27,23,0.2,0.865,1,0.385834,55
57,27,25,0.2,0.865,1,0.792633,98
57,27,26,0.2,0.865,1,0.950958,18
58,10,1,0.205,0.87,1,0.984802,18
58,10,5,0.205,0.87,1,0.745026,24
59,19,1,0.222,0.869,1,0.015015,98
59,19,11,0.222,0.869,1,0.746277,64
59,19,13,0.222,0.869,1,0.21228,55
60,19,5,0.205,0.864,1,0.405243,8
60,19,8,0.205,0.864,1,0.52533,92
60,19,15,0.205,0.864,1,0.057434,94
61,9,3,0.234,0.885,1,0.37796,89
61,9,5,0.234,0.885,1,0.284363,41
63,14,4,0.217,0.88,1,0.965149,89
63,14,6,0.217,0.88,1,0.738373,41
63,14,10,0.217,0.88,1,0.950256,13
64,14,4,0.203,0.902,1,0.617584,13
64,14,6,0.203,0.902,1,0.596252,47
64,14,13,0.203,0.902,1,0.902252,27
65,18,6,0.204,0.878,1,0.58725,27
65,18,15,0.204,0.878,1,0.752625,10
66,17,4,0.211,0.857,1,0.379974,90
66,17,10,0.211,0.857,1,0.018616,83
66,17,13,0.211,0.857,1,0.581543,46
66,17,15,0.211,0.857,1,0.170715,99
67,9,1,0.209,0.865,1,0.940033,60
67,9,2,0.209,0.865,1,0.157135,87
67,9,8,0.209,0.865,1,0.040558,30
68,17,0,0.222,0.872,1,0.698029,87
68,17,1,0.222,0.872,1,0.07251,11
68,17,4,0.222,0.872,1,0.007355,73
68,17,13,0.222,0.872,1,0.226776,45
68,17,16,0.222,0.872,1,0.097229,55
69,19,1,0.226,0.871,1,0.040985,98
69,19,2,0.226,0.871,1,0.495026,0
69,19,9,0.226,0.871,1,0.601532,62
70,13,1,0.212,0.871,1,0.250092,83
70,13,4,0.212,0.871,1,0.983368,91
70,13,5,0.212,0.871,1,0.28009,27
70,13,10,0.212,0.871,1,0.344269,74
70,13,11,0.212,0.871,1,0.182037,5
71,20,11,0.189,0.874,1,0.265106,74
72,13,1,0.221,0.887,1,0.330811,74
72,13,8,0.221,0.887,1,0.739624,99
72,13,9,0.221,0.887,1,0.835876,76
73,18,14,0.207,0.879,1,0.483826,76
74,21,0,0.228,0.885,1,0.196899,76
74,21,1,0.228,0.885,1,0.440979,25
74,21,2,0.228,0.885,1,0.253448,29
74,21,3,0.228,0.885,1,0.27652,42
74,21,6,0.228,0.885,1,0.197205,92
74,21,13,0.228,0.885,1,0.372711,40
74,21,14,0.228,0.885,1,0.420837,66
74,21,17,0.228,0.885,1,0.752319,48
74,21,18,0.228,0.885,1,0.953156,57
76,20,3,0.213,0.869,1,0.475494,48
76,20,5,0.213,0.869,1,0.794312,57
76,20,6,0.213,0.869,1,0.41629,80
76,20,9,0.213,0.869,1,0.822418,70
76,20,10,0.213,0.869,1,0.303986,52
76,20,16,0.213,0.869,1,0.839783,5
77,17,4,0.196,0.897,1,0.361053,52
77,17,7,0.196,0.897,1,0.409271,60
77,17,8,0.196,0.897,1,0.261169,75
77,17,12,0.196,0.897,1,0.047028,99
77,17,13,0.196,0.897,1,0.215973,40
78,20,0,0.219,0.868,1,0.552155,40
78,20,2,0.219,0.868,1,0.729218,99
78,20,3,0.219,0.868,1,0.632477,14
78,20,4,0.219,0.868,1,0.566467,91
78,20,13,0.219,0.868,1,0.874817,58
78,20,14,0.219,0.868,1,0.538971,96
79,17,9,0.208,0.874,1,0.524414,96
79,17,10,0.208,0.874,1,0.643066,23
80,7,4,0.21,0.89,1,0.194733,78
81,25,0,0.209,0.869,1,0.258728,78
81,25,6,0.209,0.869,1,0.64209,91
81,25,7,0.209,0.869,1,0.054077,50
81,25,8,0.209,0.869,1,0.71759,25
81,25,10,0.209,0.869,1,0.827148,7
81,25,16,0.209,0.869,1,0.551117,20
81,25,17,0.209,0.869,1,0.255188,81
81,25,21,0.209,0.869,1,0.219788,29
82,16,5,0.223,0.881,1,0.896759,81
83,18,5,0.218,0.895,1,0.617035,81
84,8,2,0.214,0.872,1,0.082306,81
84,8,6,0.214,0.872,1,0.696503,31
84,8,7,0.214,0.872,1,0.822388,83
85,19,3,0.235,0.869,1,0.719421,70
86,11,0,0.209,0.879,1,0.754395,23
86,11,4,0.209,0.879,1,0.103546,49
86,11,10,0.209,0.879,1,0.763031,71
87,7,1,0.208,0.852,1,0.776855,92
87,7,5,0.208,0.852,1,0.332947,39
88,5,1,0.204,0.865,1,0.64798,39
89,12,1,0.221,0.874,1,0.198303,67
89,12,3,0.221,0.874,1,0.877106,98
89,12,8,0.221,0.874,1,0.249146,81
89,12,11,0.221,0.874,1,0.225189,34
90,22,1,0.231,0.886,1,0.865601,29
90,22,4,0.231,0.886,1,0.766998,49
90,22,6,0.231,0.886,1,0.750122,38
90,22,15,0.231,0.886,1,0.488007,88
90,22,16,0.231,0.886,1,0.103363,50
93,17,3,0.21,0.867,1,0.517548,71
93,17,7,0.21,0.867,1,0.219879,34
93,17,9,0.21,0.867,1,0.332794,35
93,17,11,0.21,0.867,1,0.001953,95
94,21,0,0.209,0.886,1,0.908295,25
94,21,2,0.209,0.886,1,0.1604,30
94,21,10,0.209,0.886,1,0.603149,93
94,21,11,0.209,0.886,1,0.882843,53
94,21,20,0.209,0.886,1,0.123322,73
95,21,0,0.211,0.863,1,0.994873,89
95,21,7,0.211,0.863,1,0.619659,11
95,21,8,0.211,0.863,1,0.276337,28
95,21,10,0.211,0.863,1,0.928986,20
95,21,15,0.211,0.863,1,0.690796,25
95,21,16,0.211,0.863,1,0.244354,37
97,15,9,0.208,0.878,1,0.737793,37
98,13,5,0.224,0.865,1,0.966919,37
98,13,8,0.224,0.865,1,0.264526,16
99,18,5,0.227,0.863,1,0.452087,37
99,18,6,0.227,0.863,1,0.272003,16
99,18,16,0.227,0.863,1,0.267578,30
