learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
3,10,4,0.215,0.875,1,0.633118,0
3,10,5,0.215,0.875,1,0.119537,3
3,10,6,0.215,0.875,1,0.68222,80
4,13,1,0.229,0.865,1,0.715393,89
4,13,2,0.229,0.865,1,0.721741,1
4,13,5,0.229,0.865,1,0.663849,16
4,13,7,0.229,0.865,1,0.453156,8
5,9,4,0.22,0.871,1,0.15271,16
5,9,8,0.22,0.871,1,0.652679,49
6,19,0,0.22,0.863,1,0.854919,42
6,19,8,0.22,0.863,1,0.481049,76
6,19,12,0.22,0.863,1,0.453735,98
9,13,9,0.199,0.871,1,0.946136,78
9,13,10,0.199,0.871,1,0.009705,98
10,7,3,0.2,0.876,1,0.247772,50
11,2,0,0.194,0.867,1,0.862152,50
11,2,1,0.194,0.867,1,0.128693,14
12,19,0,0.221,0.877,1,0.508179,14
12,19,9,0.221,0.877,1,0.611755,9
12,19,12,0.221,0.877,1,0.702881,58
12,19,18,0.221,0.877,1,0.497437,30
13,8,6,0.232,0.87,1,0.691742,15
13,8,7,0.232,0.87,1,0.29718,90
15,15,5,0.218,0.879,1,0.215271,90
15,15,7,0.218,0.879,1,0.909271,11
16,8,2,0.201,0.854,1,0.822662,11
17,16,2,0.22,0.885,1,0.976868,20
17,16,4,0.22,0.885,1,0.652435,17
17,16,6,0.22,0.885,1,0.972198,85
17,16,13,0.22,0.885,1,0.795898,66
17,16,15,0.22,0.885,1,0.605682,84
18,10,6,0.213,0.871,1,0.227692,20
19,5,0,0.203,0.874,1,0.926422,84
20,16,4,0.203,0.875,1,0.75116,84
21,6,4,0.224,0.868,1,0.071228,84
21,6,5,0.224,0.868,1,0.302124,69
22,11,8,0.213,0.886,1,0.677704,69
24,12,4,0.204,0.882,1,0.013245,26
25,15,0,0.222,0.878,1,0.572174,55
25,15,9,0.222,0.878,1,0.286835,59
25,15,10,0.222,0.878,1,0.189545,24
25,15,11,0.222,0.878,1,0.661407,15
25,15,14,0.222,0.878,1,0.439087,58
26,20,0,0.21,0.877,1,0.908875,69
26,20,4,0.21,0.877,1,0.752655,30
26,20,6,0.21,0.877,1,0.342712,15
26,20,7,0.21,0.877,1,0.053986,87
26,20,13,0.21,0.877,1,0.921539,8
26,20,19,0.21,0.877,1,0.948059,68
27,10,6,0.197,0.884,1,0.582489,8
28,20,4,0.222,0.858,1,0.640808,68
28,20,7,0.222,0.858,1,0.895233,33
28,20,10,0.222,0.858,1,0.323547,56
28,20,11,0.222,0.858,1,0.713531,57
28,20,13,0.222,0.858,1,0.871338,12
28,20,17,0.222,0.858,1,0.348969,63
29,20,0,0.225,0.848,1,0.230072,12
29,20,2,0.225,0.848,1,0.558838,28
29,20,3,0.225,0.848,1,0.080322,31
29,20,8,0.225,0.848,1,0.280212,91
29,20,10,0.225,0.848,1,0.226196,51
29,20,14,0.225,0.848,1,0.139313,30
30,13,7,0.214,0.883,1,0.994843,19
30,13,9,0.214,0.883,1,0.219238,87
