learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,4,0.201,0.881,1,0.548645,0
2,8,7,0.201,0.881,1,0.403809,7
3,10,0,0.215,0.875,1,0.21228,7
3,10,4,0.215,0.875,1,0.702026,96
3,10,5,0.215,0.875,1,0.875641,9
3,10,7,0.215,0.875,1,0.93924,2
3,10,9,0.215,0.875,1,0.56662,72
4,13,0,0.229,0.865,1,0.299377,95
4,13,9,0.229,0.865,1,0.412292,2
5,9,0,0.22,0.871,1,0.639374,22
5,9,3,0.22,0.871,1,0.357788,67
5,9,4,0.22,0.871,1,0.1008,73
6,19,4,0.22,0.863,1,0.04248,83
7,8,0,0.209,0.866,1,0.353027,83
7,8,1,0.209,0.866,1,0.370972,99
7,8,3,0.209,0.866,1,0.164551,62
7,8,6,0.209,0.866,1,0.16983,87
9,13,0,0.199,0.871,1,0.879456,26
10,7,0,0.2,0.876,1,0.123169,26
11,2,1,0.194,0.867,1,0.113495,53
12,19,0,0.221,0.877,1,0.270599,53
12,19,1,0.221,0.877,1,0.50293,61
12,19,3,0.221,0.877,1,0.065277,36
12,19,9,0.221,0.877,1,0.475067,37
12,19,16,0.221,0.877,1,0.154205,70
12,19,18,0.221,0.877,1,0.936462,11
13,8,0,0.232,0.87,1,0.609955,37
13,8,1,0.232,0.87,1,0.394928,78
13,8,3,0.232,0.87,1,0.483887,39
13,8,5,0.232,0.87,1,0.796509,33
14,7,1,0.219,0.871,1,0.035431,23
14,7,2,0.219,0.871,1,0.048523,33
14,7,6,0.219,0.871,1,0.135345,54
15,15,2,0.218,0.879,1,0.57547,2
15,15,6,0.218,0.879,1,0.652039,23
15,15,11,0.218,0.879,1,0.235901,88
15,15,14,0.218,0.879,1,0.78949,46
16,8,6,0.201,0.854,1,0.346466,88
17,16,2,0.22,0.885,1,0.245728,5
17,16,3,0.22,0.885,1,0.906677,93
17,16,8,0.22,0.885,1,0.283173,14
17,16,14,0.22,0.885,1,0.506287,97
18,10,4,0.213,0.871,1,0.341522,12
18,10,8,0.213,0.871,1,0.251343,53
19,5,2,0.203,0.874,1,0.598877,53
19,5,3,0.203,0.874,1,0.002441,4
20,16,6,0.203,0.875,1,0.681458,53
20,16,11,0.203,0.875,1,0.254791,45
20,16,13,0.203,0.875,1,0.774902,17
21,6,2,0.224,0.868,1,0.298553,20
22,11,0,0.213,0.886,1,0.995026,48
22,11,2,0.213,0.886,1,0.474609,0
22,11,3,0.213,0.886,1,0.935211,7
22,11,4,0.213,0.886,1,0.915283,96
24,12,0,0.204,0.882,1,0.908722,7
24,12,1,0.204,0.882,1,0.778473,96
24,12,3,0.204,0.882,1,0.748627,2
24,12,8,0.204,0.882,1,0.995667,37
24,12,10,0.204,0.882,1,0.389984,95
25,15,1,0.222,0.878,1,0.792023,6
25,15,9,0.222,0.878,1,0.10791,76
25,15,11,0.222,0.878,1,0.598236,45
26,20,8,0.21,0.877,1,0.510925,12
26,20,9,0.21,0.877,1,0.244507,58
26,20,14,0.21,0.877,1,0.14801,99
27,10,5,0.197,0.884,1,0.134979,5
27,10,7,0.197,0.884,1,0.232788,24
27,10,8,0.197,0.884,1,0.821564,39
28,20,4,0.222,0.858,1,0.046631,54
28,20,6,0.222,0.858,1,0.510437,24
29,20,2,0.225,0.848,1,0.284912,5
29,20,3,0.225,0.848,1,0.242584,89
29,20,5,0.225,0.848,1,0.721741,23
29,20,6,0.225,0.848,1,0.008301,54
29,20,8,0.225,0.848,1,0.53598,31
29,20,12,0.225,0.848,1,0.63208,20
30,13,5,0.214,0.883,1,0.485687,43
30,13,12,0.214,0.883,1,0.128387,84
