learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,1,0.417603,0
2,8,0,0.201,0.881,1,0.58313,0
2,8,2,0.201,0.881,1,0.34079,3
2,8,5,0.201,0.881,1,0.557159,58
3,10,3,0.215,0.875,1,0.334991,3
3,10,6,0.215,0.875,1,0.330109,82
3,10,8,0.215,0.875,1,0.462158,72
3,10,9,0.215,0.875,1,0.309265,53
4,13,5,0.229,0.865,1,0.454315,17
5,9,0,0.22,0.871,1,0.614807,66
5,9,1,0.22,0.871,1,0.7034,8
5,9,3,0.22,0.871,1,0.161255,94
6,19,10,0.22,0.863,1,0.052216,94
6,19,12,0.22,0.863,1,0.002472,81
6,19,13,0.22,0.863,1,0.428192,44
6,19,15,0.22,0.863,1,0.992798,35
6,19,18,0.22,0.863,1,0.157318,18
8,10,0,0.223,0.887,1,0.862244,7
8,10,8,0.223,0.887,1,0.894165,21
9,13,4,0.199,0.871,1,0.195526,7
9,13,5,0.199,0.871,1,0.071991,18
9,13,8,0.199,0.871,1,0.052979,19
9,13,11,0.199,0.871,1,0.065247,21
11,2,1,0.194,0.867,1,0.467438,78
12,19,0,0.221,0.877,1,0.300659,78
13,8,7,0.232,0.87,1,0.99826,78
15,15,9,0.218,0.879,1,0.279419,78
15,15,14,0.218,0.879,1,0.400269,83
16,8,5,0.201,0.854,1,0.371826,97
17,16,8,0.22,0.885,1,0.441986,70
17,16,10,0.22,0.885,1,0.109406,31
17,16,11,0.22,0.885,1,0.789642,17
17,16,12,0.22,0.885,1,0.069794,69
18,10,2,0.213,0.871,1,0.616608,97
19,5,1,0.203,0.874,1,0.266113,97
20,16,0,0.203,0.875,1,0.922638,13
20,16,12,0.203,0.875,1,0.610413,70
21,6,0,0.224,0.868,1,0.635223,23
21,6,1,0.224,0.868,1,0.843231,49
21,6,4,0.224,0.868,1,0.041504,92
22,11,0,0.213,0.886,1,0.648071,39
24,12,6,0.204,0.882,1,0.054077,20
25,15,7,0.222,0.878,1,0.077148,20
25,15,9,0.222,0.878,1,0.227417,48
25,15,11,0.222,0.878,1,0.28537,2
26,20,2,0.21,0.877,1,0.939758,71
26,20,4,0.21,0.877,1,0.2547,37
26,20,5,0.21,0.877,1,0.086731,64
26,20,6,0.21,0.877,1,0.091949,18
26,20,14,0.21,0.877,1,0.212891,19
26,20,18,0.21,0.877,1,0.366547,49
27,10,1,0.197,0.884,1,0.886169,7
27,10,2,0.197,0.884,1,0.29538,27
28,20,5,0.222,0.858,1,0.175568,27
28,20,7,0.222,0.858,1,0.079987,7
28,20,11,0.222,0.858,1,0.768188,42
28,20,16,0.222,0.858,1,0.357391,37
29,20,1,0.225,0.848,1,0.12561,58
29,20,12,0.225,0.848,1,0.532593,39
29,20,18,0.225,0.848,1,0.923187,20
30,13,5,0.214,0.883,1,0.90509,20
30,13,6,0.214,0.883,1,0.466553,14
31,10,0,0.21,0.878,1,0.662201,14
31,10,7,0.21,0.878,1,0.629639,33
31,10,9,0.21,0.878,1,0.981781,54
32,15,4,0.224,0.892,1,0.599091,54
32,15,10,0.224,0.892,1,0.114258,33
33,22,0,0.215,0.885,1,0.525146,12
33,22,4,0.215,0.885,1,0.580353,47
33,22,7,0.215,0.885,1,0.230011,81
33,22,14,0.215,0.885,1,0.890869,19
33,22,17,0.215,0.885,1,0.404663,79
33,22,19,0.215,0.885,1,0.736542,15
35,23,0,0.211,0.883,1,0.608154,34
35,23,3,0.211,0.883,1,0.288849,22
35,23,4,0.211,0.883,1,0.244781,8
35,23,6,0.211,0.883,1,0.911957,92
35,23,7,0.211,0.883,1,0.221893,91
35,23,9,0.211,0.883,1,0.166382,77
35,23,10,0.211,0.883,1,0.643982,58
35,23,11,0.211,0.883,1,0.47113,14
35,23,13,0.211,0.883,1,0.204956,94
35,23,15,0.211,0.883,1,0.430847,89
35,23,16,0.211,0.883,1,0.055573,45
35,23,19,0.211,0.883,1,0.149811,23
36,19,0,0.226,0.864,1,0.075592,31
36,19,2,0.226,0.864,1,0.002991,5
36,19,7,0.226,0.864,1,0.371094,19
37,9,0,0.204,0.862,1,0.095459,5
37,9,6,0.204,0.862,1,0.490143,17
37,9,8,0.204,0.862,1,0.001923,76
38,27,9,0.186,0.87,1,0.694092,76
38,27,17,0.186,0.87,1,0.420074,50
39,5,0,0.233,0.878,1,0.413239,50
40,16,3,0.217,0.889,1,0.758301,71
40,16,4,0.217,0.889,1,0.297546,30
40,16,7,0.217,0.889,1,0.826691,15
41,17,2,0.222,0.866,1,0.893036,13
41,17,4,0.222,0.866,1,0.680878,87
41,17,7,0.222,0.866,1,0.930908,8
41,17,11,0.222,0.866,1,0.570282,68
41,17,15,0.222,0.866,1,0.527313,95
42,3,0,0.208,0.883,1,0.523651,95
43,19,0,0.208,0.866,1,0.031494,66
43,19,1,0.208,0.866,1,0.636658,29
43,19,2,0.208,0.866,1,0.062408,19
43,19,5,0.208,0.866,1,0.462463,46
44,18,0,0.229,0.874,1,0.157043,29
44,18,3,0.229,0.874,1,0.529449,66
44,18,7,0.229,0.874,1,0.306122,52
44,18,9,0.229,0.874,1,0.730042,84
45,23,9,0.212,0.857,1,0.544861,52
45,23,10,0.212,0.857,1,0.970276,77
45,23,12,0.212,0.857,1,0.443848,15
45,23,17,0.212,0.857,1,0.972931,69
45,23,19,0.212,0.857,1,0.946686,58
46,15,10,0.215,0.874,1,0.662537,77
47,10,1,0.204,0.889,1,0.755463,77
47,10,4,0.204,0.889,1,0.486542,69
47,10,9,0.204,0.889,1,0.180542,51
48,11,0,0.235,0.876,1,0.404266,51
48,11,2,0.235,0.876,1,0.620392,44
48,11,7,0.235,0.876,1,0.040741,42
48,11,8,0.235,0.876,1,0.656189,83
49,29,3,0.196,0.879,1,0.688171,83
49,29,12,0.196,0.879,1,0.102478,13
49,29,17,0.196,0.879,1,0.312469,49
49,29,25,0.196,0.879,1,0.071167,61
50,11,3,0.227,0.872,1,0.974243,92
50,11,4,0.227,0.872,1,0.570923,65
50,11,9,0.227,0.872,1,0.395996,67
52,16,0,0.214,0.861,1,0.257507,49
52,16,8,0.214,0.861,1,0.555664,45
52,16,13,0.214,0.861,1,0.073303,92
53,21,10,0.213,0.877,1,0.446686,45
53,21,11,0.213,0.877,1,0.569061,40
53,21,13,0.213,0.877,1,0.632507,29
53,21,14,0.213,0.877,1,0.104401,23
53,21,15,0.213,0.877,1,0.800018,5
53,21,18,0.213,0.877,1,0.938995,31
53,21,19,0.213,0.877,1,0.664246,6
53,21,20,0.213,0.877,1,0.290863,13
54,20,1,0.213,0.88,1,0.533203,47
54,20,2,0.213,0.88,1,0.742432,53
54,20,8,0.213,0.88,1,0.229431,98
54,20,11,0.213,0.88,1,0.006653,81
55,20,16,0.214,0.885,1,0.794739,81
55,20,19,0.214,0.885,1,0.600037,71
56,12,6,0.225,0.878,1,0.234344,15
56,12,7,0.225,0.878,1,0.977509,9
57,27,1,0.2,0.865,1,0.014648,15
57,27,15,0.2,0.865,1,0.157074,9
57,27,17,0.2,0.865,1,0.594543,17
58,10,0,0.205,0.87,1,0.388733,84
58,10,1,0.205,0.87,1,0.047668,20
58,10,6,0.205,0.87,1,0.120941,3
59,19,3,0.222,0.869,1,0.39502,26
59,19,5,0.222,0.869,1,0.31015,98
59,19,7,0.222,0.869,1,0.047821,90
59,19,8,0.222,0.869,1,0.24762,74
59,19,17,0.222,0.869,1,0.502808,59
60,19,3,0.205,0.864,1,0.606567,63
60,19,5,0.205,0.864,1,0.900238,66
61,9,0,0.234,0.885,1,0.834656,63
61,9,6,0.234,0.885,1,0.578247,11
62,4,0,0.236,0.884,1,0.447205,63
62,4,2,0.236,0.884,1,0.029297,11
62,4,3,0.236,0.884,1,0.32312,4
63,14,3,0.217,0.88,1,0.782166,63
63,14,8,0.217,0.88,1,0.162811,11
63,14,9,0.217,0.88,1,0.083008,88
63,14,13,0.217,0.88,1,0.966614,95
64,14,1,0.203,0.902,1,0.758636,88
64,14,5,0.203,0.902,1,0.533997,95
64,14,7,0.203,0.902,1,0.559937,32
64,14,10,0.203,0.902,1,0.111298,82
64,14,11,0.203,0.902,1,0.382019,87
65,18,3,0.204,0.878,1,0.866577,97
65,18,4,0.204,0.878,1,0.391785,31
65,18,7,0.204,0.878,1,0.451141,69
65,18,13,0.204,0.878,1,0.443451,84
65,18,14,0.204,0.878,1,0.209076,13
65,18,17,0.204,0.878,1,0.930389,0
66,17,3,0.211,0.857,1,0.154419,0
66,17,8,0.211,0.857,1,0.535706,70
66,17,9,0.211,0.857,1,0.071442,96
67,9,4,0.209,0.865,1,0.586487,26
68,17,0,0.222,0.872,1,0.412048,23
68,17,7,0.222,0.872,1,0.400787,39
69,19,1,0.226,0.871,1,0.555054,77
69,19,2,0.226,0.871,1,0.843567,38
69,19,12,0.226,0.871,1,0.605194,85
70,13,3,0.212,0.871,1,0.063263,47
70,13,4,0.212,0.871,1,0.88205,39
70,13,10,0.212,0.871,1,0.195068,42
71,20,5,0.189,0.874,1,0.795746,63
71,20,18,0.189,0.874,1,0.32843,79
72,13,6,0.221,0.887,1,0.523926,63
74,21,7,0.228,0.885,1,0.047638,47
74,21,14,0.228,0.885,1,0.715149,70
74,21,16,0.228,0.885,1,0.968384,75
76,20,9,0.213,0.869,1,0.530823,70
76,20,11,0.213,0.869,1,0.473663,21
76,20,14,0.213,0.869,1,0.904938,20
76,20,15,0.213,0.869,1,0.676697,45
76,20,18,0.213,0.869,1,0.409332,99
77,17,9,0.196,0.897,1,0.105347,16
77,17,14,0.196,0.897,1,0.374878,34
77,17,15,0.196,0.897,1,0.338593,29
78,20,5,0.219,0.868,1,0.914581,29
78,20,7,0.219,0.868,1,0.550842,43
78,20,13,0.219,0.868,1,0.655457,21
78,20,14,0.219,0.868,1,0.94577,99
78,20,16,0.219,0.868,1,0.358521,78
79,17,2,0.208,0.874,1,0.614014,78
79,17,4,0.208,0.874,1,0.462585,6
79,17,6,0.208,0.874,1,0.012421,67
79,17,11,0.208,0.874,1,0.780792,51
79,17,13,0.208,0.874,1,0.093353,28
80,7,3,0.21,0.89,1,0.007874,48
80,7,6,0.21,0.89,1,0.22522,28
81,25,3,0.209,0.869,1,0.388275,95
